,County,Deaths,OB/GYNS
0,Allen,16,60
1,Bartholomew,1,8
2,Boone,4,2
3,Cass,3,4
4,Daviess,3,3
5,Delaware,5,14
6,Elkhart,15,24
7,Floyd,1,10
8,Fulton,3,1
9,Gibson,1,2
10,Grant,3,5
11,Greene,1,3
12,Hamilton,5,26
13,Hancock,5,7
14,Harrison,1,1
15,Hendricks,6,22
16,Henry,3,3
17,Huntington,3,1
18,Jackson,4,8
19,Jefferson,1,4
20,Johnson,4,13
21,Knox,1,5
22,Kosciusko,4,4
23,Lake,12,61
24,Lawrence,4,6
25,Madison,7,10
26,Marion,61,188
27,Marshall,2,5
28,Miami,1,1
29,Monroe,6,15
30,Montgomery,1,14
31,Morgan,5,6
32,Noble,3,2
33,Porter,4,10
34,Randolph,2,4
35,Shelby,5,1
36,St. Joseph,10,44
37,Steuben,1,1
38,Tippecanoe,9,18
39,Vanderburgh,13,19
40,Vigo,4,19
41,Warren,2,1
42,Washington,1,1
43,Wayne,3,7
44,Wells,1,2
45,White,3,2
